Q_ID	Ref_ANS	Stud_ANS	Class
1	هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها	هي كل جريمة أو مخالفة تقع على النت أو عن طريق الأجهزة الإلكترونيةبغرض سرقة أو تخريب أو استبدال المعلومات قصد مصلحة ما ينتج عنها خسائر مادية أو معنوية للمعتدى عليه.	5
36	 إن تطوير البرامج الضخمة ينتج عنه ثغرات أمنية أكثر وصعوبات في التحكم فيها خاصة مع تزايد عدد المخترقين وسرعة الهجمات )كلما كبر البرنامج كلما كبرت الثغرات الأمنية(	البرامج الضخمة يمكن ان نجد لها ثغرات، لأنها أساسا تحتوي على عدد هائل من التعليمات لذ يصعب توفير الحماية لها.	4
47	القرصنة هي جريمة اختراق وسرقة معلومات يقوم بها قراصنة القبعات السوداء دون اذن لاغراض تخريبية أما اختبار الاختراق فيتم فيه توظيف العديد من ذوي القبعات البيضاء لاختبار أنظمة أمان أجهزة الكمبيوتر في المؤسسات مما يسمح بتحديد عيوبها وثغراتها قصد تحسين دفاعاتها	الاختراق هو اقتحام انظمة اجهزة  الحاسب بمساعدة برامج تعمل على معرفة كلمات السر و كلمات المرور اما القرصنة فتتمثل في اختراق الانظمة من اجل الوصول الى المعلومات و التلاعب بها	1
33	حجب  المواقع إعداد إحصاءات عن المواقع الإلكترونية لاستعمالها من طرف وكالات التسويق توفير عرض النطاق الترددي، إعداد إحصاءات المستخدم.	احصاء و معرفة المواقع التي يتم زيارتها من طرف الموظفين، تسريع الانترنت و الخدمة بالمقابل، حجب المواقع التي ليس لها دور في العمل	4
38	 نظرا لتكتم الضحايا على الجرائم تفاديا للإعلان والتشهير لما فيه من إساءة للعائلات أو لسمعة المؤسسات بالإضافة إلى أن الكثير من الجرائم لا تترك أثرا	التشريع القانوني العادي لا يمكنه ضبط كل الجرائم الإلكترونية، أغلب الضحايا تتكتم على الأمر لا تقوم بالإبلاغ عن الجريمة حفاظا على سمعة العائلات.	2
47	القرصنة هي جريمة اختراق وسرقة معلومات يقوم بها قراصنة القبعات السوداء دون اذن لاغراض تخريبية أما اختبار الاختراق فيتم فيه توظيف العديد من ذوي القبعات البيضاء لاختبار أنظمة أمان أجهزة الكمبيوتر في المؤسسات مما يسمح بتحديد عيوبها وثغراتها قصد تحسين دفاعاتها	اختبار الاختراق هي محاولة اختراق النظام بطلب من العملاء من اجل معرفة صحة النظام و تحسينه بعد ذلك اما القرصنة هي عمل غير قانوني يتم باختراق الاجهزة و النظامات بدوا اخذ الاذن بهدف التجسس و السرقة	5
35	تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها	كثرة استعمال النت، وجود برامج عملاقة، توفر وسائل الاختراق، عوبة تتبع الجريمة الالكترونية، ضعف العقوبات في بعض الدول	4
30	التوفير و السرية و التكامل للمعلومات	تطور استغلال الثروة الإلكترونية تطور البرامج الالكترونية و تعزيز روح الانتاج الالكتروني، الحكومة الالكترونية، تطور الأنظمة المعلوماتية.	0
32	اختراق نظام أمن بدون إذن، كشف العيوب الأمنية في البرامج أو على مواقع الويب بشكل عام بدلاً من كشف الخلل بشكل خاص إلى المؤسسة وإعطائها الوقت لإصلاحه مما يعطي الفرصة لاستغلاله من طرف قراصنة القبعات السوداء .	الاطلاع و الحصول (السرقة) المعلومات بطريقة غير شرعية، تخريب و ابطاء و التعطيل، تغيير وجه الموقع	2
26	 جرائم السطو على أرقام البطاقات الائتمانية تزوير البيانات الجرائم المنظمة تجارة المخدرات، غسيل الأموال.  	سرقة البطاقات الإلكترونية المالية، إختراق البنوك، تغيير أرقام السجلات .	1
6	هي عنف منظم تقوم به جماعات ترتكب أفعالا تخترق بها القانون للحصول على مكاسب مالية، بطرق وأساليب غير مشروعة تنفذ بعد تدبير وتنظيم	هي نوع من الجرام المالية التي تعتمد على جماعة من المخربون هدفهم سرقة وسطو على أموال الناس	2
24	يتم اختراق و تنزيل الأسرار الصناعية من كمبيوتر في إحدى الشركات وإرسالها بالبريد الإلكتروني مباشرة إلى منافستها، و قد تتم سرقة اختراع جديد في تكنولوجيا الكمبيوتر وبيعه بمبلغ كبير من المال بالإضافة إلى فساد وتواطؤ الموظفين	هذه الجريمة تكون باستخدام الاقمار الصناعية و تكون بين الدول المتنافسة حيث يتجسسون على مشاريعهم السريه	0
35	تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها	زيادة استخدام الانترنت، التجارة الالكترونية و الحكومة الالكترونية، تطور وسائل الاختراق	3
23	جرائم القرصنة وانتهاك الخصوصية. تصنف في المجموعة الاولى  التي تقع على الانترنت  أي أن الشبكة تكون محلا لها	كشف الرسائل المتبادلة بين الأشخاص و الدبلوماسيين مما أدى إلى خلق الفتن بين الدول و كشف عمليات التجسس. تصنف في جرائم القرصنة.	3
45	الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة	قراصنة القبعات السوداء عملهم سرقة أو تخريب المعلومات أما قراصنة القبعات الرمادية فهو كشف هذه المعلومات	1
42	النمو السريع في استخدامات التطبيقات الإلكترونية واستخدام الانترنت  والتي تتطلب بيئة آمنة. (التجارة الإلكترونية، والحكومة الإلكترونية.) سرعة تغير مجال التقنية المعلوماتية، تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية.	النمو السريع في استخدام التطبيقات الإلكترونية و الإنترنت و التي تتطلب بيئة هادئة، إنتشار إستخدام شبكة التحايل، إستخدام برنامج تسجيل ضغط المفاتيح.	2
